ResourceARN,Region,TaggingMethod,TagsApplied,Status
arn:aws:codeartifact:us-east-2:054337747310:repository/rhythmexpress/nuget-rhythmexpress,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
arn:aws:codeartifact:us-east-2:054337747310:repository/rhythmexpress/nuget-store,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/codebuild-cp-qa-automation,us-east-2,resourcegroupstaggingapi,{'Environment': 'qa'},DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/codebuild-et-qa-automation,us-east-2,resourcegroupstaggingapi,{'Environment': 'qa'},DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/prod-rhythmexpressecg,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress', 'Environment': 'prod'}",DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/access-rhythmexpressecg,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/eraveler-dev,us-east-2,resourcegroupstaggingapi,{'Environment': 'dev'},DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/vq-website-public,us-east-2,resourcegroupstaggingapi,"{'Application': 'bs', 'Owner': 'ec2', 'Project': 'type-public'}",DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/sales-rhythmexpressecg,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/codebuild-reportBuild,us-east-2,resourcegroupstaggingapi,"{'Application': 'report', 'Owner': 'Sergey'}",DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/bsm,us-east-2,resourcegroupstaggingapi,{'Application': 'bsm'},DRY-RUN
arn:aws:codebuild:us-east-2:054337747310:project/etraveler-dev,us-east-2,resourcegroupstaggingapi,{'Environment': 'dev'},DRY-RUN
arn:aws:codecommit:us-east-2:054337747310:VivaQuantCodeCommit,us-east-2,resourcegroupstaggingapi,{'Project': 'Vivaquant'},DRY-RUN
arn:aws:codecommit:us-east-2:054337747310:access.rhythmexpressecg,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
arn:aws:codecommit:us-east-2:054337747310:prod-rhythmexpressecg,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress', 'Environment': 'prod'}",DRY-RUN
arn:aws:codecommit:us-east-2:054337747310:sales.rhythmexpressecg,us-east-2,resourcegroupstaggingapi,"{'Application': 'rhythm-app', 'Project': 'rhythmexpress'}",DRY-RUN
arn:aws:codeguru-reviewer:us-east-2:054337747310:association:7b5838de-a59e-49a8-986b-cc40c95865a7,us-east-2,-,-,NO_MATCH
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-bsm-prod,us-east-2,resourcegroupstaggingapi,"{'Application': 'bsm', 'Environment': 'prod'}",DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-bsm-stage,us-east-2,resourcegroupstaggingapi,"{'Application': 'bsm', 'Environment': 'stage'}",DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-cp-qa-automation,us-east-2,resourcegroupstaggingapi,{'Environment': 'qa'},DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-dev-env,us-east-2,resourcegroupstaggingapi,{'Environment': 'dev'},DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-et-qa-automation,us-east-2,resourcegroupstaggingapi,{'Environment': 'qa'},DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-etraveler-dev,us-east-2,resourcegroupstaggingapi,{'Environment': 'dev'},DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-etraveler-prod,us-east-2,resourcegroupstaggingapi,{'Environment': 'prod'},DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-etraveler-stage,us-east-2,resourcegroupstaggingapi,{'Environment': 'stage'},DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-production,us-east-2,resourcegroupstaggingapi,{'Environment': 'prod'},DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-reportBuild-dev,us-east-2,resourcegroupstaggingapi,"{'Environment': 'dev', 'Application': 'report', 'Owner': 'Sergey'}",DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-reportBuild-prod,us-east-2,resourcegroupstaggingapi,"{'Environment': 'prod', 'Application': 'report', 'Owner': 'Sergey'}",DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-reportBuild-stage,us-east-2,resourcegroupstaggingapi,"{'Environment': 'stage', 'Application': 'report', 'Owner': 'Sergey'}",DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-sales-dev,us-east-2,resourcegroupstaggingapi,{'Environment': 'dev'},DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-sales-dev-new,us-east-2,resourcegroupstaggingapi,{'Environment': 'dev'},DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-sales-production-clone,us-east-2,resourcegroupstaggingapi,{'Environment': 'prod'},DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-sales-stage,us-east-2,resourcegroupstaggingapi,{'Environment': 'stage'},DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-staging,us-east-2,-,-,NO_MATCH
arn:aws:codepipeline:us-east-2:054337747310:codepipeline-vq-website,us-east-2,resourcegroupstaggingapi,{'Application': 'bs'},DRY-RUN
arn:aws:codepipeline:us-east-2:054337747310:TestPipeline,us-east-2,-,-,NO_MATCH
arn:aws:cognito-identity:us-east-2:054337747310:identitypool/us-east-2:767388e7-c063-462a-a954-e0606ec86d3d,us-east-2,-,-,NO_MATCH
arn:aws:cognito-identity:us-east-2:054337747310:identitypool/us-east-2:f4943f61-b345-4aad-a761-9e8af4ed17ca,us-east-2,-,-,NO_MATCH
arn:aws:cognito-idp:us-east-2:054337747310:userpool/us-east-2_aoCbHEjDI,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-zcbpfh,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-63wpko,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-vavkhc,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-nicutf,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-m0qbz6,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-fnafll,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-tg8ywj,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-yherzs,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-uorzyc,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-udg1ck,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-6tcrur,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-b4ulnr,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-xazipn,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-cr9ozt,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-ujyyst,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-o0cwge,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-ect9cc,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-ncvsqj,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-yfooe0,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-okimov,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-p4gnnh,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-yhucbv,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-c3t5vo,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-amsblx,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-9izdto,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-ysvdwj,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-ibg7sj,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-kwqseh,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-im0ink,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-dwoxix,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-nu1xzb,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-852sji,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-na02kr,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-qvxrbb,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-vx6q8t,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-ju0suo,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-ggtmkw,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-rukvqy,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-ue9gid,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-atujam,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-3orkkd,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-vzz9gd,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-wvip81,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-rqs1qm,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-l7j7ec,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-thjffb,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-3bzu20,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-j8jbdg,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-hgi8v6,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-bcqad1,us-east-2,resourcegroupstaggingapi,{'Environment': 'qa'},DRY-RUN
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-i19xit,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-sbomcf,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-fqat5q,us-east-2,resourcegroupstaggingapi,{'Environment': 'qa'},DRY-RUN
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-tbvf1p,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-tzicj9,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-x17m1e,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-digasz,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-rpomoi,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-cyvzlm,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-qjb5qk,us-east-2,-,-,NO_MATCH
arn:aws:config:us-east-2:054337747310:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-wo1pxr,us-east-2,-,-,NO_MATCH
